source,target
ora,stdin-discarder
ora,is-unicode-supported
ajv-formats,ajv
typed-array-buffer,call-bound
typed-array-buffer,es-errors
typed-array-buffer,is-typed-array
is-bigint,has-bigints
nopt,abbrev
tar-stream,b4a
tar-stream,streamx
tar-stream,fast-fifo
@ampproject/remapping,@jridgewell/gen-mapping
@ampproject/remapping,@jridgewell/trace-mapping
@jest/transform,@babel/core
@jest/transform,@jest/types
@jest/transform,@jridgewell/trace-mapping
@jest/transform,babel-plugin-istanbul
@jest/transform,chalk
@jest/transform,convert-source-map
@jest/transform,fast-json-stable-stringify
@jest/transform,graceful-fs
@jest/transform,jest-haste-map
@jest/transform,jest-regex-util
@jest/transform,jest-util
@jest/transform,micromatch
@jest/transform,pirates
@jest/transform,slash
@jest/transform,write-file-atomic
is-descriptor,gopd
is-descriptor,hasown
is-descriptor,is-accessor-descriptor
is-descriptor,is-data-descriptor
proxy-addr,forwarded
proxy-addr,ipaddr.js
globalthis,define-properties
globalthis,gopd
istanbul-lib-report,istanbul-lib-coverage
istanbul-lib-report,make-dir
istanbul-lib-report,supports-color
string.prototype.trim,call-bind
string.prototype.trim,call-bound
string.prototype.trim,define-data-property
string.prototype.trim,define-properties
string.prototype.trim,es-abstract
string.prototype.trim,es-object-atoms
string.prototype.trim,has-property-descriptors
loose-envify,js-tokens
@typescript-eslint/parser,@typescript-eslint/scope-manager
@typescript-eslint/parser,@typescript-eslint/types
@typescript-eslint/parser,@typescript-eslint/typescript-estree
@typescript-eslint/parser,@typescript-eslint/visitor-keys
@typescript-eslint/parser,debug
@types/istanbul-reports,@types/istanbul-lib-report
@types/babel__generator,@babel/types
serve-static,encodeurl
serve-static,escape-html
serve-static,parseurl
serve-static,send
array-buffer-byte-length,call-bound
array-buffer-byte-length,is-array-buffer
@sinonjs/commons,type-detect
@types/babel__core,@babel/types
@types/babel__core,@babel/parser
@types/babel__core,@types/babel__template
@types/babel__core,@types/babel__traverse
@types/babel__core,@types/babel__generator
get-symbol-description,call-bound
get-symbol-description,es-errors
get-symbol-description,get-intrinsic
jwa,safe-buffer
jwa,ecdsa-sig-formatter
jwa,buffer-equal-constant-time
@jest/fake-timers,@jest/types
@jest/fake-timers,@sinonjs/fake-timers
@jest/fake-timers,@types/node
@jest/fake-timers,jest-message-util
@jest/fake-timers,jest-mock
@jest/fake-timers,jest-util
find-cache-dir,pkg-dir
find-cache-dir,common-path-prefix
@types/babel__template,@babel/types
@types/babel__template,@babel/parser
typed-array-length,call-bind
typed-array-length,for-each
typed-array-length,gopd
typed-array-length,is-typed-array
typed-array-length,possible-typed-array-names
typed-array-length,reflect.getprototypeof
@types/express-serve-static-core,@types/qs
@types/express-serve-static-core,@types/node
@types/express-serve-static-core,@types/send
@types/express-serve-static-core,@types/range-parser
escodegen,estraverse
escodegen,esutils
escodegen,esprima
escodegen,source-map
@babel/plugin-syntax-typescript,@babel/helper-plugin-utils
@jest/environment,@jest/fake-timers
@jest/environment,@jest/types
@jest/environment,@types/node
@jest/environment,jest-mock
@jest/test-result,@jest/console
@jest/test-result,@jest/types
