package,risk_score,in_degree,out_degree,betweenness,is_topN
@webassemblyjs/wast-printer,0.014172,1,2,0.000001,True
@babel/plugin-transform-private-methods,0.014074,1,2,0.000001,True
log-symbols,0.014074,1,2,0.000001,True
@babel/plugin-transform-object-super,0.014074,1,2,0.000001,True
accepts,0.014074,1,2,0.000001,True
@eslint/plugin-kit,0.013926,1,2,0.000000,True
@babel/plugin-transform-modules-commonjs,0.013853,1,2,0.000000,True
@babel/plugin-transform-spread,0.013853,1,2,0.000000,True
@babel/plugin-transform-modules-amd,0.013853,1,2,0.000000,True
@babel/plugin-transform-for-of,0.013853,1,2,0.000000,True
@babel/plugin-transform-modules-umd,0.013853,1,2,0.000000,True
globalthis,0.013816,1,2,0.000000,True
data-urls,0.013779,1,2,0.000000,True
@smithy/abort-controller,0.013779,1,2,0.000000,True
@smithy/invalid-dependency,0.013779,1,2,0.000000,True
watchpack,0.013779,1,2,0.000000,True
@smithy/querystring-parser,0.013779,1,2,0.000000,True
@babel/helpers,0.013779,1,2,0.000000,True
stop-iteration-iterator,0.013779,1,2,0.000000,True
jest-resolve-dependencies,0.013779,1,2,0.000000,True
side-channel-list,0.013779,1,2,0.000000,True
is-accessor-descriptor,0.013779,1,2,0.000000,True
enhanced-resolve,0.013779,1,2,0.000000,True
@types/babel__template,0.013779,1,2,0.000000,True
tinyglobby,0.013779,1,2,0.000000,True
run-parallel,0.013579,1,1,0.000007,True
fastq,0.013284,1,1,0.000006,True
babel-plugin-jest-hoist,0.013284,1,1,0.000006,True
regjsparser,0.012693,1,1,0.000005,True
onetime,0.012398,1,1,0.000004,True
figures,0.012398,1,1,0.000004,True
string_decoder,0.012103,1,1,0.000003,True
unique-filename,0.012103,1,1,0.000003,True
file-entry-cache,0.012103,1,1,0.000003,True
abort-controller,0.012103,1,1,0.000003,True
parent-module,0.012103,1,1,0.000003,True
@babel/plugin-syntax-jsx,0.012029,1,1,0.000003,True
@babel/plugin-syntax-typescript,0.012029,1,1,0.000003,True
unique-slug,0.011807,1,1,0.000002,True
hosted-git-info,0.011807,1,1,0.000002,True
tr46,0.011807,1,1,0.000002,True
@cspotcode/source-map-support,0.011807,1,1,0.000002,True
resolve-cwd,0.011807,1,1,0.000002,True
babel-plugin-polyfill-regenerator,0.011793,1,1,0.000002,True
fast-levenshtein,0.011512,1,1,0.000002,True
combined-stream,0.011512,1,1,0.000002,True
loose-envify,0.011512,1,1,0.000002,True
@npmcli/fs,0.011512,1,1,0.000002,True
is-bigint,0.011512,1,1,0.000002,True
jest,0.011429,0,4,0.000000,True
cosmiconfig,0.011429,0,4,0.000000,True
